Sr No.,Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating score,Product URL,Image URL
28,Hisense 50A7H 126 cm (50 inch) LED 4K Ultra HD Google TV with Dolby Vision & Dolby Atmos (2022 model),Hisense,54990.0,34990.0,0,0.0,N/A,/hisense-50a7h-126-cm-50-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-dolby-atmos-2022-model-/p/267237,https://media.croma.com/image/upload/v1672206401/Croma%20Assets/Entertainment/Television/Images/267237_egucte.png
29,XElectron Series X 108 cm (43 inch) LED 4K Ultra HD Android TV with Dolby Vision & Dolby Atmos (2022 model),XElectron,34999.0,17699.0,3,3.0,5.0,/xelectron-series-x-108-cm-43-inch-led-4k-ultra-hd-android-tv-with-dolby-vision-dolby-atmos-2022-model-/p/266673,https://media.croma.com/image/upload/v1675417693/Croma%20Assets/Entertainment/Television/Images/266673_ltz2rd.png
30,TCL P Series 165.1 cm (65 inch) 4K Ultra HD LED Android 11 Google TV with Dolby Audio Digital Decoder,TCL,124990.0,49990.0,0,0.0,N/A,/tcl-p-series-165-1-cm-65-inch-4k-ultra-hd-led-android-11-google-tv-with-dolby-audio-digital-decoder/p/265854,https://media.croma.com/image/upload/v1673946245/Croma%20Assets/Entertainment/Television/Images/265854_lj5qr9.png
31,TCL 55P635 139.7 cm (55 inch) 4K Ultra HD LED Android TV with Dolby Audio (2022 model),TCL,77990.0,36990.0,0,0.0,N/A,/tcl-55p635-139-7-cm-55-inch-4k-ultra-hd-led-android-tv-with-dolby-audio-2022-model-/p/265853,https://media.croma.com/image/upload/v1669870454/Croma%20Assets/Entertainment/Television/Images/265853_ynsajo.png
32,Haier 109 cm (43 inch) LED 4K Ultra HD Android TV with Google Assistant (2022 model),Haier,51990.0,32990.0,3,3.0,4.67,/haier-109-cm-43-inch-led-4k-ultra-hd-android-tv-with-google-assistant-2022-model-/p/264074,https://media.croma.com/image/upload/v1667628478/Croma%20Assets/Entertainment/Television/Images/264074_e0oqwd.png
33,TCL P635 109.22 cm (43 inch) 4K Ultra HD Google TV with Dolby Audio (2022 model),TCL,55990.0,25990.0,0,0.0,N/A,/tcl-p635-109-22-cm-43-inch-4k-ultra-hd-google-tv-with-dolby-audio-2022-model-/p/262665,https://media.croma.com/image/upload/v1673946243/Croma%20Assets/Entertainment/Television/Images/262665_qznzb3.png
34,Acer P Series 100 cm (40 inch) Full HD LED Android TV with Dolby Audio,Acer,24990.0,16999.0,0,0.0,N/A,/acer-p-series-100-cm-40-inch-full-hd-led-android-tv-with-dolby-audio/p/262345,https://media.croma.com/image/upload/v1676887101/Croma%20Assets/Entertainment/Television/Images/262345_xaxv3m.png
35,Sony X90K 189.03 cm (75 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,379900.0,246990.0,2,2.0,4.5,/sony-x90k-189-03-cm-75-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/260214,https://media.croma.com/image/upload/v1667229205/Croma%20Assets/Entertainment/Television/Images/260214_0_a3dqqk.png
36,SONY X85K Series 138.8 cm (55 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,149900.0,85490.0,2,2.0,4.5,/sony-x85k-series-138-8-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/259949,https://media.croma.com/image/upload/v1667229945/Croma%20Assets/Entertainment/Television/Images/259949_0_c2djuv.png
37,SONY X85K Series 214.8 cm (85 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,599900.0,351490.0,0,0.0,N/A,/sony-x85k-series-214-8-cm-85-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/259309,https://media.croma.com/image/upload/v1667229886/Croma%20Assets/Entertainment/Television/Images/259309_0_wicomy.png
38,LG UQ75 108 cm (43 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,47990.0,39990.0,5,5.0,4.4,/lg-uq75-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257221,https://media.croma.com/image/upload/v1667229331/Croma%20Assets/Entertainment/Television/Images/257221_0_mp80iu.png
39,LG QNED81 164 cm (65 inch) 4K Ultra HD QNED WebOS TV with LG Voice Search (2022 model),LG,169990.0,129990.0,0,0.0,N/A,/lg-qned81-164-cm-65-inch-4k-ultra-hd-qned-webos-tv-with-lg-voice-search-2022-model-/p/258887,https://media.croma.com/image/upload/v1674566471/Croma%20Assets/Entertainment/Television/User%20Manual/258887_User%20Manual.ai
40,LG QNED81 139 cm (55 inch) 4K Ultra HD QNED WebOS TV with LG Voice Search (2022 model),LG,119990.0,80990.0,10,10.0,3.9,/lg-qned81-139-cm-55-inch-4k-ultra-hd-qned-webos-tv-with-lg-voice-search-2022-model-/p/258884,https://media.croma.com/image/upload/v1667229894/Croma%20Assets/Entertainment/Television/Images/258884_0_rt2xtn.png
